date,time,demand
10-Mar-05_duplicated_1,15:15_duplicated_8,33
10-Mar-05,15:30_duplicated_8,27
10-Mar-05,15:45_duplicated_8,39
10-Mar-05,16:00_duplicated_8,28
10-Mar-05,16:15_duplicated_8,30
10-Mar-05_duplicated_0,16:30_duplicated_8,35
10-Mar-05_duplicated_1,16:45_duplicated_8,30
10-Mar-05_duplicated_1,17:00_duplicated_8,32
10-Mar-05,17:15_duplicated_8,31
10-Mar-05_duplicated_2,17:30_duplicated_8,44
10-Mar-05,17:45_duplicated_8,48
10-Mar-05_duplicated_0,18:00_duplicated_8,57
10-Mar-05,18:15_duplicated_8,74
10-Mar-05,18:30_duplicated_8,77
10-Mar-05,18:45_duplicated_8,89
10-Mar-05,19:00_duplicated_8,69
10-Mar-05,19:15_duplicated_8,83
10-Mar-05,19:30_duplicated_8,44
10-Mar-05_duplicated_0,19:45_duplicated_8,59
10-Mar-05,20:00_duplicated_8,46
10-Mar-05,20:15_duplicated_8,39
10-Mar-05_duplicated_0,20:30_duplicated_8,36
10-Mar-05_duplicated_0,20:45_duplicated_8,33
10-Mar-05_duplicated_0,21:00_duplicated_8,39
10-Mar-05_duplicated_1,21:15_duplicated_8,35
10-Mar-05_duplicated_2,21:30_duplicated_8,18
10-Mar-05_duplicated_1,21:45_duplicated_8,10
10-Mar-05_duplicated_0,22:00_duplicated_8,4
11-Mar-05,6:30_duplicated_9,2
11-Mar-05,6:45_duplicated_9,1
11-Mar-05,7:00_duplicated_9,3
11-Mar-05,7:15_duplicated_9,3
11-Mar-05_duplicated_0,7:30_duplicated_9,12
11-Mar-05,7:45_duplicated_9,12
11-Mar-05_duplicated_0,8:00_duplicated_9,15
11-Mar-05,8:15_duplicated_9,14
11-Mar-05,8:30_duplicated_9,12
11-Mar-05_duplicated_1,8:45_duplicated_9,15
11-Mar-05_duplicated_0,9:00_duplicated_9,15
11-Mar-05_duplicated_1,9:15_duplicated_9,23
11-Mar-05,9:30_duplicated_9,27
11-Mar-05,9:45_duplicated_9,21
11-Mar-05,10:00_duplicated_9,21
11-Mar-05_duplicated_0,10:15_duplicated_9,21
11-Mar-05_duplicated_1,10:30_duplicated_9,21
11-Mar-05_duplicated_2,10:45_duplicated_9,24
11-Mar-05,11:00_duplicated_9,26
11-Mar-05,11:15_duplicated_9,30
11-Mar-05,11:30_duplicated_9,37
11-Mar-05,11:45_duplicated_9,30
11-Mar-05_duplicated_0,12:00_duplicated_9,38
11-Mar-05,12:15_duplicated_9,44
11-Mar-05,12:30_duplicated_9,55
11-Mar-05,12:45_duplicated_9,52
11-Mar-05,13:00_duplicated_9,38
11-Mar-05_duplicated_0,13:15_duplicated_9,42
11-Mar-05,13:30_duplicated_9,42
11-Mar-05_duplicated_0,13:45_duplicated_9,53
11-Mar-05,14:00_duplicated_9,40
11-Mar-05,14:15_duplicated_9,55
11-Mar-05_duplicated_0,14:30_duplicated_9,35
11-Mar-05,14:45_duplicated_9,40
11-Mar-05_duplicated_0,15:00_duplicated_9,31
11-Mar-05,15:15_duplicated_9,44
11-Mar-05_duplicated_0,15:30_duplicated_9,22
11-Mar-05,15:45_duplicated_9,34
11-Mar-05,16:00_duplicated_9,36
11-Mar-05,16:15_duplicated_9,38
11-Mar-05_duplicated_1,16:30_duplicated_9,34
11-Mar-05_duplicated_0,16:45_duplicated_9,47
11-Mar-05,17:00_duplicated_9,47
11-Mar-05_duplicated_0,17:15_duplicated_9,67
11-Mar-05,17:30_duplicated_9,45
11-Mar-05,17:45_duplicated_9,47
11-Mar-05_duplicated_1,18:00_duplicated_9,56
11-Mar-05,18:15_duplicated_9,66
11-Mar-05,18:30_duplicated_9,48
11-Mar-05,18:45_duplicated_9,55
11-Mar-05_duplicated_1,19:00_duplicated_9,52
11-Mar-05_duplicated_0,19:15_duplicated_9,51
11-Mar-05,19:30_duplicated_9,39
11-Mar-05,19:45_duplicated_9,47
11-Mar-05_duplicated_2,20:00_duplicated_9,38
11-Mar-05_duplicated_2,20:15_duplicated_9,26
11-Mar-05_duplicated_0,20:30_duplicated_9,28
11-Mar-05,20:45_duplicated_9,27
11-Mar-05_duplicated_0,21:00_duplicated_9,24
11-Mar-05_duplicated_0,21:15_duplicated_9,16
11-Mar-05,21:30_duplicated_9,10
11-Mar-05,21:45_duplicated_9,7
11-Mar-05,22:00_duplicated_9,4
12-Mar-05,6:30_duplicated_10,2
12-Mar-05,6:45_duplicated_10,1
12-Mar-05,7:00_duplicated_10,3
12-Mar-05,7:15_duplicated_10,0
12-Mar-05,7:30_duplicated_10,1
12-Mar-05_duplicated_0,7:45_duplicated_10,3
12-Mar-05_duplicated_0,8:00_duplicated_10,3
12-Mar-05_duplicated_1,8:15_duplicated_10,1
12-Mar-05_duplicated_1,8:30_duplicated_10,4
12-Mar-05_duplicated_0,8:45_duplicated_10,1
12-Mar-05_duplicated_2,9:00_duplicated_10,3
12-Mar-05_duplicated_2,9:15_duplicated_10,5
12-Mar-05,9:30_duplicated_10,3
12-Mar-05_duplicated_3,9:45_duplicated_10,5
12-Mar-05_duplicated_0,10:00_duplicated_10,1
12-Mar-05_duplicated_3,10:15_duplicated_10,4
12-Mar-05_duplicated_1,10:30_duplicated_10,3
12-Mar-05_duplicated_4,10:45_duplicated_10,6
12-Mar-05,11:00_duplicated_10,4
12-Mar-05_duplicated_2,11:15_duplicated_10,2
12-Mar-05_duplicated_0,11:30_duplicated_10,6
12-Mar-05_duplicated_0,11:45_duplicated_10,6
12-Mar-05_duplicated_1,12:00_duplicated_10,2
12-Mar-05_duplicated_1,12:15_duplicated_10,9
12-Mar-05,12:30_duplicated_10,7
12-Mar-05,12:45_duplicated_10,14
12-Mar-05,13:00_duplicated_10,10
12-Mar-05,13:15_duplicated_10,6
12-Mar-05_duplicated_2,13:30_duplicated_10,12
12-Mar-05,13:45_duplicated_10,9
12-Mar-05_duplicated_0,14:00_duplicated_10,9
12-Mar-05_duplicated_1,14:15_duplicated_10,9
12-Mar-05_duplicated_2,14:30_duplicated_10,5
12-Mar-05_duplicated_1,14:45_duplicated_10,5
12-Mar-05_duplicated_2,15:00_duplicated_10,7
12-Mar-05_duplicated_0,15:15_duplicated_10,10
12-Mar-05_duplicated_0,15:30_duplicated_10,5
12-Mar-05_duplicated_3,15:45_duplicated_10,5
12-Mar-05_duplicated_4,16:00_duplicated_10,4
12-Mar-05_duplicated_3,16:15_duplicated_10,3
12-Mar-05_duplicated_5,16:30_duplicated_10,1
12-Mar-05_duplicated_4,16:45_duplicated_10,3
12-Mar-05_duplicated_6,17:00_duplicated_10,6
12-Mar-05_duplicated_3,17:15_duplicated_10,2
12-Mar-05_duplicated_2,17:30_duplicated_10,6
12-Mar-05_duplicated_4,17:45_duplicated_10,1
12-Mar-05_duplicated_5,18:00_duplicated_10,5
12-Mar-05_duplicated_5,18:15_duplicated_10,9
12-Mar-05_duplicated_3,18:30_duplicated_10,2
12-Mar-05_duplicated_3,18:45_duplicated_10,3
12-Mar-05_duplicated_7,19:00_duplicated_10,1
12-Mar-05_duplicated_6,19:15_duplicated_10,3
12-Mar-05_duplicated_8,19:30_duplicated_10,1
12-Mar-05_duplicated_7,19:45_duplicated_10,2
12-Mar-05_duplicated_4,20:00_duplicated_10,0
12-Mar-05_duplicated_0,20:15_duplicated_10,3
12-Mar-05_duplicated_9,20:30_duplicated_10,2
12-Mar-05_duplicated_5,20:45_duplicated_10,2
12-Mar-05_duplicated_6,21:00_duplicated_10,1
12-Mar-05_duplicated_8,21:15_duplicated_10,2
12-Mar-05_duplicated_7,21:30_duplicated_10,1
12-Mar-05_duplicated_9,21:45_duplicated_10,0
12-Mar-05_duplicated_1,22:00_duplicated_10,0
13-Mar-05,6:30_duplicated_11,0
13-Mar-05_duplicated_0,6:45_duplicated_11,0
13-Mar-05_duplicated_1,7:00_duplicated_11,0
13-Mar-05_duplicated_2,7:15_duplicated_11,0
13-Mar-05_duplicated_3,7:30_duplicated_11,0
13-Mar-05_duplicated_4,7:45_duplicated_11,0
13-Mar-05_duplicated_5,8:00_duplicated_11,0
13-Mar-05_duplicated_6,8:15_duplicated_11,1
13-Mar-05,8:30_duplicated_11,0
13-Mar-05_duplicated_7,8:45_duplicated_11,0
13-Mar-05_duplicated_8,9:00_duplicated_11,0
13-Mar-05_duplicated_9,9:15_duplicated_11,1
13-Mar-05_duplicated_0,9:30_duplicated_11,0
13-Mar-05_duplicated_10,9:45_duplicated_11,0
13-Mar-05_duplicated_11,10:00_duplicated_11,2
13-Mar-05,10:15_duplicated_11,0
13-Mar-05_duplicated_12,10:30_duplicated_11,0
13-Mar-05_duplicated_13,10:45_duplicated_11,1
13-Mar-05_duplicated_1,11:00_duplicated_11,2
13-Mar-05_duplicated_0,11:15_duplicated_11,0
13-Mar-05_duplicated_14,11:30_duplicated_11,1
13-Mar-05_duplicated_2,11:45_duplicated_11,1
13-Mar-05_duplicated_3,12:00_duplicated_11,2
13-Mar-05_duplicated_1,12:15_duplicated_11,1
13-Mar-05_duplicated_4,12:30_duplicated_11,2
13-Mar-05_duplicated_2,12:45_duplicated_11,2
13-Mar-05_duplicated_3,13:00_duplicated_11,3
13-Mar-05,13:15_duplicated_11,3
13-Mar-05_duplicated_0,13:30_duplicated_11,0
13-Mar-05_duplicated_15,13:45_duplicated_11,2
13-Mar-05_duplicated_4,14:00_duplicated_11,2
13-Mar-05_duplicated_5,14:15_duplicated_11,2
13-Mar-05_duplicated_6,14:30_duplicated_11,0
13-Mar-05_duplicated_16,14:45_duplicated_11,2
13-Mar-05_duplicated_7,15:00_duplicated_11,4
13-Mar-05,15:15_duplicated_11,1
13-Mar-05_duplicated_5,15:30_duplicated_11,0
13-Mar-05_duplicated_17,15:45_duplicated_11,0
13-Mar-05_duplicated_18,16:00_duplicated_11,3
13-Mar-05_duplicated_1,16:15_duplicated_11,1
13-Mar-05_duplicated_6,16:30_duplicated_11,1
13-Mar-05_duplicated_7,16:45_duplicated_11,1
13-Mar-05_duplicated_8,17:00_duplicated_11,4
13-Mar-05_duplicated_0,17:15_duplicated_11,3
13-Mar-05_duplicated_2,17:30_duplicated_11,1
13-Mar-05_duplicated_9,17:45_duplicated_11,1
13-Mar-05_duplicated_10,18:00_duplicated_11,0
13-Mar-05_duplicated_19,18:15_duplicated_11,2
13-Mar-05_duplicated_8,18:30_duplicated_11,0
13-Mar-05_duplicated_20,18:45_duplicated_11,0
13-Mar-05_duplicated_21,19:00_duplicated_11,1
13-Mar-05_duplicated_11,19:15_duplicated_11,2
13-Mar-05_duplicated_9,19:30_duplicated_11,4
13-Mar-05_duplicated_1,19:45_duplicated_11,0
13-Mar-05_duplicated_22,20:00_duplicated_11,1
13-Mar-05_duplicated_12,20:15_duplicated_11,3
13-Mar-05_duplicated_3,20:30_duplicated_11,1
13-Mar-05_duplicated_13,20:45_duplicated_11,1
13-Mar-05_duplicated_14,21:00_duplicated_11,1
13-Mar-05_duplicated_15,21:15_duplicated_11,1
13-Mar-05_duplicated_16,21:30_duplicated_11,0
13-Mar-05_duplicated_23,21:45_duplicated_11,0
13-Mar-05_duplicated_24,22:00_duplicated_11,0
14-Mar-05,6:30_duplicated_12,2
14-Mar-05,6:45_duplicated_12,3
14-Mar-05,7:00_duplicated_12,8
14-Mar-05,7:15_duplicated_12,7
14-Mar-05,7:30_duplicated_12,11
14-Mar-05,7:45_duplicated_12,17
14-Mar-05,8:00_duplicated_12,26
14-Mar-05,8:15_duplicated_12,20
14-Mar-05,8:30_duplicated_12,19
14-Mar-05,8:45_duplicated_12,17
14-Mar-05_duplicated_0,9:00_duplicated_12,22
14-Mar-05,9:15_duplicated_12,24
14-Mar-05,9:30_duplicated_12,27
14-Mar-05,9:45_duplicated_12,26
14-Mar-05_duplicated_0,10:00_duplicated_12,24
14-Mar-05_duplicated_0,10:15_duplicated_12,28
14-Mar-05,10:30_duplicated_12,32
14-Mar-05,10:45_duplicated_12,29
14-Mar-05,11:00_duplicated_12,27
14-Mar-05_duplicated_0,11:15_duplicated_12,36
14-Mar-05,11:30_duplicated_12,30
14-Mar-05,11:45_duplicated_12,35
14-Mar-05,12:00_duplicated_12,49
14-Mar-05,12:15_duplicated_12,38
14-Mar-05,12:30_duplicated_12,50
14-Mar-05,12:45_duplicated_12,49
14-Mar-05_duplicated_0,13:00_duplicated_12,57
14-Mar-05,13:15_duplicated_12,45
14-Mar-05,13:30_duplicated_12,59
14-Mar-05,13:45_duplicated_12,51
14-Mar-05,14:00_duplicated_12,40
14-Mar-05,14:15_duplicated_12,52
14-Mar-05,14:30_duplicated_12,53
14-Mar-05,14:45_duplicated_12,42
14-Mar-05,15:00_duplicated_12,38
14-Mar-05_duplicated_0,15:15_duplicated_12,37
14-Mar-05,15:30_duplicated_12,34
14-Mar-05,15:45_duplicated_12,47
14-Mar-05,16:00_duplicated_12,26
14-Mar-05_duplicated_1,16:15_duplicated_12,35
14-Mar-05_duplicated_0,16:30_duplicated_12,26
14-Mar-05_duplicated_2,16:45_duplicated_12,39
14-Mar-05,17:00_duplicated_12,30
14-Mar-05_duplicated_0,17:15_duplicated_12,47
14-Mar-05_duplicated_0,17:30_duplicated_12,55
14-Mar-05,17:45_duplicated_12,70
14-Mar-05,18:00_duplicated_12,62
14-Mar-05,18:15_duplicated_12,113
14-Mar-05,18:30_duplicated_12,108
14-Mar-05,18:45_duplicated_12,116
14-Mar-05,19:00_duplicated_12,98
14-Mar-05,19:15_duplicated_12,91
14-Mar-05,19:30_duplicated_12,77
14-Mar-05,19:45_duplicated_12,62
14-Mar-05_duplicated_0,20:00_duplicated_12,56
14-Mar-05,20:15_duplicated_12,54
14-Mar-05,20:30_duplicated_12,42
14-Mar-05_duplicated_0,20:45_duplicated_12,23
14-Mar-05,21:00_duplicated_12,23
14-Mar-05_duplicated_0,21:15_duplicated_12,28
14-Mar-05_duplicated_0,21:30_duplicated_12,13
14-Mar-05,21:45_duplicated_12,7
14-Mar-05_duplicated_0,22:00_duplicated_12,7
15-Mar-05,6:30_duplicated_13,0
15-Mar-05,6:45_duplicated_13,2
15-Mar-05,7:00_duplicated_13,4
15-Mar-05,7:15_duplicated_13,7
15-Mar-05_duplicated_0,7:30_duplicated_13,13
15-Mar-05,7:45_duplicated_13,11
15-Mar-05,8:00_duplicated_13,18
15-Mar-05,8:15_duplicated_13,21
15-Mar-05,8:30_duplicated_13,19
15-Mar-05,8:45_duplicated_13,12
15-Mar-05,9:00_duplicated_13,12
15-Mar-05_duplicated_0,9:15_duplicated_13,19
15-Mar-05_duplicated_0,9:30_duplicated_13,27
15-Mar-05,9:45_duplicated_13,18
15-Mar-05_duplicated_0,10:00_duplicated_13,20
15-Mar-05,10:15_duplicated_13,24
15-Mar-05,10:30_duplicated_13,29
15-Mar-05,10:45_duplicated_13,25
15-Mar-05,11:00_duplicated_13,38
15-Mar-05,11:15_duplicated_13,43
15-Mar-05,11:30_duplicated_13,49
15-Mar-05,11:45_duplicated_13,33
15-Mar-05,12:00_duplicated_13,42
15-Mar-05,12:15_duplicated_13,39
15-Mar-05,12:30_duplicated_13,45
15-Mar-05,12:45_duplicated_13,46
15-Mar-05,13:00_duplicated_13,54
15-Mar-05,13:15_duplicated_13,64
15-Mar-05,13:30_duplicated_13,57
15-Mar-05,13:45_duplicated_13,64
15-Mar-05_duplicated_0,14:00_duplicated_13,36
15-Mar-05,14:15_duplicated_13,42
15-Mar-05_duplicated_0,14:30_duplicated_13,44
15-Mar-05,14:45_duplicated_13,33
15-Mar-05_duplicated_0,15:00_duplicated_13,45
15-Mar-05_duplicated_0,15:15_duplicated_13,27
15-Mar-05_duplicated_0,15:30_duplicated_13,35
15-Mar-05,15:45_duplicated_13,40
15-Mar-05,16:00_duplicated_13,39
15-Mar-05_duplicated_0,16:15_duplicated_13,38
15-Mar-05_duplicated_0,16:30_duplicated_13,29
15-Mar-05_duplicated_0,16:45_duplicated_13,35
15-Mar-05_duplicated_0,17:00_duplicated_13,34
15-Mar-05,17:15_duplicated_13,39
15-Mar-05_duplicated_1,17:30_duplicated_13,41
15-Mar-05,17:45_duplicated_13,58
15-Mar-05,18:00_duplicated_13,66
15-Mar-05,18:15_duplicated_13,92
15-Mar-05,18:30_duplicated_13,115
15-Mar-05,18:45_duplicated_13,110
15-Mar-05,19:00_duplicated_13,95
15-Mar-05,19:15_duplicated_13,83
15-Mar-05,19:30_duplicated_13,88
15-Mar-05,19:45_duplicated_13,43
15-Mar-05_duplicated_0,20:00_duplicated_13,50
15-Mar-05,20:15_duplicated_13,47
15-Mar-05,20:30_duplicated_13,50
15-Mar-05_duplicated_0,20:45_duplicated_13,40
15-Mar-05_duplicated_0,21:00_duplicated_13,34
15-Mar-05_duplicated_0,21:15_duplicated_13,23
15-Mar-05,21:30_duplicated_13,19
15-Mar-05_duplicated_1,21:45_duplicated_13,12
15-Mar-05_duplicated_1,22:00_duplicated_13,9
16-Mar-05,6:30_duplicated_14,1
16-Mar-05,6:45_duplicated_14,6
16-Mar-05,7:00_duplicated_14,1
16-Mar-05_duplicated_0,7:15_duplicated_14,6
16-Mar-05_duplicated_0,7:30_duplicated_14,12
16-Mar-05,7:45_duplicated_14,11
16-Mar-05,8:00_duplicated_14,14
16-Mar-05,8:15_duplicated_14,18
16-Mar-05,8:30_duplicated_14,14
16-Mar-05_duplicated_0,8:45_duplicated_14,13
16-Mar-05,9:00_duplicated_14,16
16-Mar-05,9:15_duplicated_14,30
16-Mar-05,9:30_duplicated_14,21
16-Mar-05,9:45_duplicated_14,20
16-Mar-05,10:00_duplicated_14,16
16-Mar-05_duplicated_0,10:15_duplicated_14,30
16-Mar-05_duplicated_0,10:30_duplicated_14,19
16-Mar-05,10:45_duplicated_14,30
16-Mar-05_duplicated_1,11:00_duplicated_14,29
16-Mar-05,11:15_duplicated_14,38
16-Mar-05,11:30_duplicated_14,23
16-Mar-05,11:45_duplicated_14,33
16-Mar-05,12:00_duplicated_14,23
16-Mar-05_duplicated_0,12:15_duplicated_14,40
16-Mar-05,12:30_duplicated_14,37
16-Mar-05,12:45_duplicated_14,36
16-Mar-05,13:00_duplicated_14,46
16-Mar-05,13:15_duplicated_14,40
16-Mar-05_duplicated_0,13:30_duplicated_14,34
16-Mar-05,13:45_duplicated_14,54
16-Mar-05,14:00_duplicated_14,28
16-Mar-05,14:15_duplicated_14,42
16-Mar-05,14:30_duplicated_14,48
16-Mar-05,14:45_duplicated_14,49
16-Mar-05,15:00_duplicated_14,36
16-Mar-05_duplicated_0,15:15_duplicated_14,40
16-Mar-05_duplicated_1,15:30_duplicated_14,31
16-Mar-05,15:45_duplicated_14,28
16-Mar-05_duplicated_0,16:00_duplicated_14,34
16-Mar-05_duplicated_0,16:15_duplicated_14,24
16-Mar-05,16:30_duplicated_14,26
16-Mar-05,16:45_duplicated_14,30
16-Mar-05_duplicated_2,17:00_duplicated_14,30
16-Mar-05_duplicated_3,17:15_duplicated_14,29
16-Mar-05_duplicated_0,17:30_duplicated_14,47
16-Mar-05,17:45_duplicated_14,47
16-Mar-05_duplicated_0,18:00_duplicated_14,62
16-Mar-05,18:15_duplicated_14,83
16-Mar-05,18:30_duplicated_14,122
16-Mar-05,18:45_duplicated_14,83
16-Mar-05_duplicated_0,19:00_duplicated_14,86
16-Mar-05,19:15_duplicated_14,71
16-Mar-05,19:30_duplicated_14,66
16-Mar-05,19:45_duplicated_14,65
16-Mar-05,20:00_duplicated_14,57
16-Mar-05,20:15_duplicated_14,61
16-Mar-05,20:30_duplicated_14,42
16-Mar-05_duplicated_0,20:45_duplicated_14,38
16-Mar-05_duplicated_0,21:00_duplicated_14,23
16-Mar-05_duplicated_1,21:15_duplicated_14,22
16-Mar-05,21:30_duplicated_14,22
16-Mar-05_duplicated_0,21:45_duplicated_14,16
16-Mar-05_duplicated_1,22:00_duplicated_14,12
17-Mar-05,6:30_duplicated_15,3
17-Mar-05,6:45_duplicated_15,4
17-Mar-05,7:00_duplicated_15,4
17-Mar-05_duplicated_0,7:15_duplicated_15,5
17-Mar-05,7:30_duplicated_15,13
17-Mar-05,7:45_duplicated_15,11
17-Mar-05,8:00_duplicated_15,19
17-Mar-05,8:15_duplicated_15,17
17-Mar-05,8:30_duplicated_15,11
17-Mar-05_duplicated_0,8:45_duplicated_15,14
17-Mar-05,9:00_duplicated_15,13
17-Mar-05_duplicated_0,9:15_duplicated_15,20
17-Mar-05,9:30_duplicated_15,19
17-Mar-05_duplicated_0,9:45_duplicated_15,32
17-Mar-05,10:00_duplicated_15,16
17-Mar-05,10:15_duplicated_15,24
17-Mar-05,10:30_duplicated_15,29
17-Mar-05,10:45_duplicated_15,31
17-Mar-05,11:00_duplicated_15,27
17-Mar-05,11:15_duplicated_15,24
17-Mar-05_duplicated_0,11:30_duplicated_15,21
17-Mar-05,11:45_duplicated_15,29
17-Mar-05_duplicated_0,12:00_duplicated_15,33
17-Mar-05,12:15_duplicated_15,45
17-Mar-05,12:30_duplicated_15,24
17-Mar-05_duplicated_1,12:45_duplicated_15,29
17-Mar-05_duplicated_1,13:00_duplicated_15,54
17-Mar-05,13:15_duplicated_15,43
17-Mar-05,13:30_duplicated_15,34
17-Mar-05,13:45_duplicated_15,50
17-Mar-05,14:00_duplicated_15,60
17-Mar-05,14:15_duplicated_15,38
17-Mar-05,14:30_duplicated_15,42
17-Mar-05,14:45_duplicated_15,31
17-Mar-05_duplicated_0,15:00_duplicated_15,13
17-Mar-05_duplicated_1,15:15_duplicated_15,43
17-Mar-05_duplicated_0,15:30_duplicated_15,0
17-Mar-05,15:45_duplicated_15,32
17-Mar-05_duplicated_0,16:00_duplicated_15,29
17-Mar-05_duplicated_2,16:15_duplicated_15,25
17-Mar-05,16:30_duplicated_15,42
17-Mar-05_duplicated_0,16:45_duplicated_15,27
17-Mar-05_duplicated_0,17:00_duplicated_15,31
17-Mar-05_duplicated_1,17:15_duplicated_15,32
17-Mar-05_duplicated_1,17:30_duplicated_15,41
17-Mar-05,17:45_duplicated_15,53
17-Mar-05,18:00_duplicated_15,63
17-Mar-05,18:15_duplicated_15,78
17-Mar-05,18:30_duplicated_15,93
17-Mar-05,18:45_duplicated_15,83
17-Mar-05,19:00_duplicated_15,81
17-Mar-05,19:15_duplicated_15,73
17-Mar-05,19:30_duplicated_15,64
17-Mar-05,19:45_duplicated_15,48
17-Mar-05,20:00_duplicated_15,55
17-Mar-05,20:15_duplicated_15,40
17-Mar-05,20:30_duplicated_15,22
17-Mar-05,20:45_duplicated_15,29
17-Mar-05_duplicated_3,21:00_duplicated_15,30
17-Mar-05,21:15_duplicated_15,24
17-Mar-05_duplicated_2,21:30_duplicated_15,13
17-Mar-05_duplicated_2,21:45_duplicated_15,13
17-Mar-05_duplicated_3,22:00_duplicated_15,12
18-Mar-05,6:30_duplicated_16,3
18-Mar-05,6:45_duplicated_16,1
18-Mar-05,7:00_duplicated_16,5
18-Mar-05,7:15_duplicated_16,7
18-Mar-05,7:30_duplicated_16,13
18-Mar-05,7:45_duplicated_16,11
18-Mar-05,8:00_duplicated_16,14
18-Mar-05,8:15_duplicated_16,19
18-Mar-05,8:30_duplicated_16,16
18-Mar-05,8:45_duplicated_16,14
18-Mar-05_duplicated_0,9:00_duplicated_16,13
18-Mar-05_duplicated_0,9:15_duplicated_16,19
18-Mar-05_duplicated_0,9:30_duplicated_16,28
18-Mar-05,9:45_duplicated_16,17
18-Mar-05,10:00_duplicated_16,20
18-Mar-05,10:15_duplicated_16,27
18-Mar-05,10:30_duplicated_16,25
18-Mar-05,10:45_duplicated_16,36
18-Mar-05,11:00_duplicated_16,31
18-Mar-05,11:15_duplicated_16,43
18-Mar-05,11:30_duplicated_16,35
18-Mar-05,11:45_duplicated_16,33
18-Mar-05,12:00_duplicated_16,37
18-Mar-05,12:15_duplicated_16,32
18-Mar-05,12:30_duplicated_16,46
18-Mar-05,12:45_duplicated_16,34
18-Mar-05,13:00_duplicated_16,44
18-Mar-05,13:15_duplicated_16,57
18-Mar-05,13:30_duplicated_16,47
18-Mar-05,13:45_duplicated_16,60
18-Mar-05,14:00_duplicated_16,38
18-Mar-05,14:15_duplicated_16,35
18-Mar-05_duplicated_0,14:30_duplicated_16,42
18-Mar-05,14:45_duplicated_16,39
18-Mar-05,15:00_duplicated_16,33
18-Mar-05_duplicated_0,15:15_duplicated_16,39
18-Mar-05_duplicated_0,15:30_duplicated_16,29
18-Mar-05,15:45_duplicated_16,44
18-Mar-05_duplicated_0,16:00_duplicated_16,40
18-Mar-05,16:15_duplicated_16,40
18-Mar-05_duplicated_0,16:30_duplicated_16,41
18-Mar-05,16:45_duplicated_16,47
18-Mar-05_duplicated_0,17:00_duplicated_16,48
18-Mar-05,17:15_duplicated_16,71
18-Mar-05,17:30_duplicated_16,63
18-Mar-05,17:45_duplicated_16,67
18-Mar-05,18:00_duplicated_16,56
18-Mar-05,18:15_duplicated_16,70
18-Mar-05,18:30_duplicated_16,69
18-Mar-05,18:45_duplicated_16,52
18-Mar-05,19:00_duplicated_16,58
18-Mar-05,19:15_duplicated_16,58
18-Mar-05_duplicated_0,19:30_duplicated_16,60
18-Mar-05_duplicated_0,19:45_duplicated_16,48
18-Mar-05_duplicated_0,20:00_duplicated_16,48
18-Mar-05_duplicated_1,20:15_duplicated_16,39
18-Mar-05_duplicated_1,20:30_duplicated_16,29
18-Mar-05_duplicated_0,20:45_duplicated_16,25
18-Mar-05_duplicated_0,21:00_duplicated_16,19
18-Mar-05_duplicated_1,21:15_duplicated_16,22
18-Mar-05,21:30_duplicated_16,15
18-Mar-05,21:45_duplicated_16,9
18-Mar-05,22:00_duplicated_16,9
19-Mar-05,6:30_duplicated_17,0
19-Mar-05,6:45_duplicated_17,0
19-Mar-05_duplicated_0,7:00_duplicated_17,1
19-Mar-05,7:15_duplicated_17,1
19-Mar-05_duplicated_0,7:30_duplicated_17,3
19-Mar-05,7:45_duplicated_17,0
19-Mar-05_duplicated_1,8:00_duplicated_17,0
19-Mar-05_duplicated_2,8:15_duplicated_17,1
19-Mar-05_duplicated_1,8:30_duplicated_17,1
19-Mar-05_duplicated_2,8:45_duplicated_17,5
19-Mar-05,9:00_duplicated_17,3
19-Mar-05_duplicated_0,9:15_duplicated_17,0
19-Mar-05_duplicated_3,9:30_duplicated_17,4
19-Mar-05,9:45_duplicated_17,3
19-Mar-05_duplicated_1,10:00_duplicated_17,10
19-Mar-05,10:15_duplicated_17,3
19-Mar-05_duplicated_2,10:30_duplicated_17,4
19-Mar-05_duplicated_0,10:45_duplicated_17,7
19-Mar-05,11:00_duplicated_17,6
19-Mar-05,11:15_duplicated_17,5
19-Mar-05_duplicated_0,11:30_duplicated_17,3
19-Mar-05_duplicated_3,11:45_duplicated_17,8
19-Mar-05,12:00_duplicated_17,7
19-Mar-05_duplicated_0,12:15_duplicated_17,9
19-Mar-05_duplicated_0,12:30_duplicated_17,12
19-Mar-05,12:45_duplicated_17,8
19-Mar-05_duplicated_0,13:00_duplicated_17,7
19-Mar-05_duplicated_1,13:15_duplicated_17,5
19-Mar-05_duplicated_1,13:30_duplicated_17,8
19-Mar-05_duplicated_1,13:45_duplicated_17,11
19-Mar-05,14:00_duplicated_17,16
19-Mar-05,14:15_duplicated_17,6
19-Mar-05_duplicated_0,14:30_duplicated_17,9
19-Mar-05_duplicated_1,14:45_duplicated_17,5
19-Mar-05_duplicated_2,15:00_duplicated_17,6
19-Mar-05_duplicated_1,15:15_duplicated_17,3
19-Mar-05_duplicated_4,15:30_duplicated_17,4
19-Mar-05_duplicated_1,15:45_duplicated_17,3
19-Mar-05_duplicated_5,16:00_duplicated_17,5
19-Mar-05_duplicated_3,16:15_duplicated_17,8
19-Mar-05_duplicated_2,16:30_duplicated_17,5
19-Mar-05_duplicated_4,16:45_duplicated_17,2
19-Mar-05,17:00_duplicated_17,6
