s_code,s_city,e_code,e_city,coupon,new,vacation,SW,HI,s_income,e_income,s_pop,e_pop,slot,gate,distance,PAX,fare
JFK,New York/Newark     NY,*,Milwaukee           WI,1.29,3,No,No,6108.57,32991.00,26695.00,8621121,1646147,Controlled,Free,736,6590,190.09
LGA,New York/Newark     NY,*,Milwaukee           WI,1.29,3,No,No,6108.57,32991.00,26695.00,8621121,1646147,Controlled,Free,736,6590,190.09
EWR,New York/Newark     NY,*,Milwaukee           WI,1.29,1,No,No,6108.57,32991.00,26695.00,8621121,1646147,Free,Constrained,736,6590,190.09
*,Orlando             FL,*,Milwaukee           WI,1.49,3,Yes,No,2985.42,22360.00,26695.00,1421287,1646147,Free,Free,1066,6935,104.87
*,Phoenix             AZ,*,Milwaukee           WI,1.36,3,No,No,3146.68,23025.00,26695.00,2753373,1646147,Free,Free,1461,4879,154.06
*,Atlanta             GA,*,Minneapolis/St Paul MN,1.17,3,No,No,4317.66,26993.00,28739.00,3532657,2761118,Free,Constrained,904,5578,269.43
*,Boston              MA,*,Minneapolis/St Paul MN,1.18,3,No,No,7702.88,30124.00,28739.00,5787293,2761118,Free,Constrained,1114,7276,258.85
ORD,Chicago             IL,*,Minneapolis/St Paul MN,1.01,3,No,No,3911.17,29260.00,28739.00,7830332,2761118,Controlled,Constrained,342,29137,156.93
MDW,Chicago             IL,*,Minneapolis/St Paul MN,1.01,3,No,No,3911.17,29260.00,28739.00,7830332,2761118,Free,Constrained,342,29137,156.93
*,Dallas/Fort Worth   TX,*,Minneapolis/St Paul MN,1.1,3,No,No,4540.3,28637.00,28739.00,3036732,2761118,Free,Constrained,857,6621,230.71
*,Denver              CO,*,Minneapolis/St Paul MN,1.02,3,No,No,4347.48,29055.00,28739.00,1862106,2761118,Free,Constrained,693,10147,133.50
*,Detroit             MI,*,Minneapolis/St Paul MN,1.14,3,No,No,9249.13,26506.00,28739.00,4459144,2761118,Free,Constrained,530,5389,286.54
*,Kansas City         MO,*,Minneapolis/St Paul MN,1.19,3,No,No,7958.31,25450.00,28739.00,1694803,2761118,Free,Constrained,401,3733,232.55
*,Las Vegas           NV,*,Minneapolis/St Paul MN,1.13,3,Yes,No,6172.12,24575.00,28739.00,1197234,2761118,Free,Constrained,1301,4353,171.67
*,Los Angeles         CA,*,Minneapolis/St Paul MN,1.24,3,No,No,6166.1,24706.00,28739.00,9056076,2761118,Free,Constrained,1539,7749,246.10
ORD,Chicago             IL,*,Nashville           TN,1.02,3,No,Yes,3463.96,29260.00,25995.00,7830332,1115048,Controlled,Free,401,10902,84.21
MDW,Chicago             IL,*,Nashville           TN,1.02,3,No,Yes,3463.96,29260.00,25995.00,7830332,1115048,Free,Free,401,10902,84.21
*,Dallas/Fort Worth   TX,*,Nashville           TN,1.1,3,No,No,7138.34,28637.00,25995.00,3036732,1115048,Free,Free,634,4632,181.99
*,Detroit             MI,*,Nashville           TN,1.16,2,No,Yes,7746.63,26506.00,25995.00,4459144,1115048,Free,Constrained,466,6143,166.25
*,Houston             TX,*,Nashville           TN,1.08,3,No,Yes,4722.17,27211.00,25995.00,3770125,1115048,Free,Free,671,5772,107.86
*,Los Angeles         CA,*,Nashville           TN,1.57,2,No,Yes,3106.38,24706.00,25995.00,9056076,1115048,Free,Free,1798,4462,181.02
JFK,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.27,32991.00,25995.00,8621121,1115048,Controlled,Free,760,7387,215.01
LGA,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.27,32991.00,25995.00,8621121,1115048,Controlled,Free,760,7387,215.01
EWR,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.27,32991.00,25995.00,8621121,1115048,Free,Constrained,760,7387,215.01
*,Orlando             FL,*,Nashville           TN,1.17,1,Yes,Yes,2173.45,22360.00,25995.00,1421287,1115048,Free,Free,615,6224,87.80
*,Atlanta             GA,*,New Orleans         LA,1.02,3,No,No,6269.75,26993.00,22038.00,3532657,1308499,Free,Free,419,7796,120.70
ORD,Chicago             IL,*,New Orleans         LA,1.2,3,No,Yes,2621.01,29260.00,22038.00,7830332,1308499,Controlled,Free,829,8356,132.85
MDW,Chicago             IL,*,New Orleans         LA,1.2,3,No,Yes,2621.01,29260.00,22038.00,7830332,1308499,Free,Free,829,8356,132.85
*,Dallas/Fort Worth   TX,*,New Orleans         LA,1.05,3,No,Yes,4060.65,28637.00,22038.00,3036732,1308499,Free,Free,455,12717,84.53
*,Houston             TX,*,New Orleans         LA,1.01,3,No,Yes,5117.49,27211.00,22038.00,3770125,1308499,Free,Free,319,19894,76.81
*,Los Angeles         CA,*,New Orleans         LA,1.43,3,No,Yes,2605.05,24706.00,22038.00,9056076,1308499,Free,Free,1678,5559,202.00
*,Albuquerque         NM,JFK,New York/Newark     NY,1.92,3,No,No,1940.17,22089.00,32991.00,668159,8621121,Controlled,Free,1822,4002,208.79
*,Albuquerque         NM,LGA,New York/Newark     NY,1.92,3,No,No,1940.17,22089.00,32991.00,668159,8621121,Controlled,Free,1822,4002,208.79
*,Albuquerque         NM,EWR,New York/Newark     NY,1.92,3,No,No,1940.17,22089.00,32991.00,668159,8621121,Free,Constrained,1822,4002,208.79
*,Atlanta             GA,JFK,New York/Newark     NY,1.06,3,No,No,4593.38,26993.00,32991.00,3532657,8621121,Controlled,Free,756,48642,162.28
*,Atlanta             GA,LGA,New York/Newark     NY,1.06,3,No,No,4593.38,26993.00,32991.00,3532657,8621121,Controlled,Free,756,48642,162.28
*,Atlanta             GA,EWR,New York/Newark     NY,1.06,3,No,No,4593.38,26993.00,32991.00,3532657,8621121,Free,Constrained,756,48642,162.28
*,Austin              TX,JFK,New York/Newark     NY,1.69,3,No,No,3447.63,23665.00,32991.00,1038660,8621121,Controlled,Free,1515,3802,287.23
*,Austin              TX,LGA,New York/Newark     NY,1.69,3,No,No,3447.63,23665.00,32991.00,1038660,8621121,Controlled,Free,1515,3802,287.23
*,Austin              TX,EWR,New York/Newark     NY,1.69,3,No,No,3447.63,23665.00,32991.00,1038660,8621121,Free,Constrained,1515,3802,287.23
*,Boston              MA,JFK,New York/Newark     NY,1,3,No,No,2850.33,30124.00,32991.00,5787293,8621121,Controlled,Free,183,66820,116.78
*,Boston              MA,LGA,New York/Newark     NY,1,3,No,No,2850.33,30124.00,32991.00,5787293,8621121,Controlled,Free,183,66820,116.78
*,Boston              MA,EWR,New York/Newark     NY,1,3,No,No,2850.33,30124.00,32991.00,5787293,8621121,Free,Constrained,183,66820,116.78
ORD,Chicago             IL,JFK,New York/Newark     NY,1.05,3,No,No,3316.9,29260.00,32991.00,7830332,8621121,Controlled,Free,723,73892,159.71
ORD,Chicago             IL,LGA,New York/Newark     NY,1.05,3,No,No,3316.9,29260.00,32991.00,7830332,8621121,Controlled,Free,723,73892,159.71
ORD,Chicago             IL,EWR,New York/Newark     NY,1.05,3,No,No,3316.9,29260.00,32991.00,7830332,8621121,Controlled,Constrained,723,73892,159.71
MDW,Chicago             IL,JFK,New York/Newark     NY,1.05,3,No,No,3316.9,29260.00,32991.00,7830332,8621121,Controlled,Free,723,73892,159.71
MDW,Chicago             IL,LGA,New York/Newark     NY,1.05,3,No,No,3316.9,29260.00,32991.00,7830332,8621121,Controlled,Free,723,73892,159.71
MDW,Chicago             IL,EWR,New York/Newark     NY,1.05,3,No,No,3316.9,29260.00,32991.00,7830332,8621121,Free,Constrained,723,73892,159.71
*,Cincinnati          OH,JFK,New York/Newark     NY,1.1,3,No,No,6102.03,25059.00,32991.00,1595139,8621121,Controlled,Constrained,582,9567,205.00
*,Cincinnati          OH,LGA,New York/Newark     NY,1.1,3,No,No,6102.03,25059.00,32991.00,1595139,8621121,Controlled,Constrained,582,9567,205.00
*,Cincinnati          OH,EWR,New York/Newark     NY,1.1,3,No,No,6102.03,25059.00,32991.00,1595139,8621121,Free,Constrained,582,9567,205.00
*,Cleveland           OH,JFK,New York/Newark     NY,1.07,3,No,No,6798.94,26046.00,32991.00,2230955,8621121,Controlled,Free,408,13252,143.44
*,Cleveland           OH,LGA,New York/Newark     NY,1.07,3,No,No,6798.94,26046.00,32991.00,2230955,8621121,Controlled,Free,408,13252,143.44
*,Cleveland           OH,EWR,New York/Newark     NY,1.07,3,No,No,6798.94,26046.00,32991.00,2230955,8621121,Free,Constrained,408,13252,143.44
*,Columbus            OH,JFK,New York/Newark     NY,1.11,0,No,No,3046.45,24502.00,32991.00,125722,8621121,Controlled,Free,475,10168,174.87
*,Columbus            OH,LGA,New York/Newark     NY,1.11,3,No,No,3046.45,24502.00,32991.00,125722,8621121,Controlled,Free,475,10168,174.87
*,Columbus            OH,EWR,New York/Newark     NY,1.11,3,No,No,3046.45,24502.00,32991.00,125722,8621121,Free,Constrained,475,10168,174.87
*,Dallas/Fort Worth   TX,JFK,New York/Newark     NY,1.12,3,No,No,6583.72,28637.00,32991.00,3036732,8621121,Controlled,Free,1389,24082,304.18
*,Dallas/Fort Worth   TX,LGA,New York/Newark     NY,1.12,3,No,No,6583.72,28637.00,32991.00,3036732,8621121,Controlled,Free,1389,24082,304.18
*,Dallas/Fort Worth   TX,EWR,New York/Newark     NY,1.12,3,No,No,6583.72,28637.00,32991.00,3036732,8621121,Free,Constrained,1389,24082,304.18
*,Denver              CO,JFK,New York/Newark     NY,1.25,3,No,No,4809.1,29055.00,32991.00,1862106,8621121,Controlled,Free,1624,16240,270.36
*,Denver              CO,LGA,New York/Newark     NY,1.25,3,No,No,4809.1,29055.00,32991.00,1862106,8621121,Controlled,Free,1624,16240,270.36
*,Denver              CO,EWR,New York/Newark     NY,1.25,3,No,No,4809.1,29055.00,32991.00,1862106,8621121,Free,Constrained,1624,16240,270.36
*,Detroit             MI,JFK,New York/Newark     NY,1.06,3,No,No,5430.52,26506.00,32991.00,4459144,8621121,Controlled,Constrained,492,17775,209.35
*,Detroit             MI,LGA,New York/Newark     NY,1.06,3,No,No,5430.52,26506.00,32991.00,4459144,8621121,Controlled,Constrained,492,17775,209.35
*,Detroit             MI,EWR,New York/Newark     NY,1.06,3,No,No,5430.52,26506.00,32991.00,4459144,8621121,Free,Constrained,492,17775,209.35
*,Fort Lauderdale     FL,JFK,New York/Newark     NY,1.06,3,Yes,No,2828.16,26752.00,32991.00,1440377,8621121,Controlled,Free,1068,40159,123.18
*,Fort Lauderdale     FL,LGA,New York/Newark     NY,1.06,3,Yes,No,2828.16,26752.00,32991.00,1440377,8621121,Controlled,Free,1068,40159,123.18
*,Fort Lauderdale     FL,EWR,New York/Newark     NY,1.06,3,Yes,No,2828.16,26752.00,32991.00,1440377,8621121,Free,Constrained,1068,40159,123.18
*,Fort Meyers         FL,JFK,New York/Newark     NY,1.22,3,Yes,No,3536.16,24510.00,32991.00,379566,8621121,Controlled,Free,1076,9399,143.20
*,Fort Meyers         FL,LGA,New York/Newark     NY,1.22,3,Yes,No,3536.16,24510.00,32991.00,379566,8621121,Controlled,Free,1076,9399,143.20
*,Fort Meyers         FL,EWR,New York/Newark     NY,1.22,3,Yes,No,3536.16,24510.00,32991.00,379566,8621121,Free,Constrained,1076,9399,143.20
*,Greenville/Sprtnbg  SC,JFK,New York/Newark     NY,1.29,0,No,No,3152,21081.00,32991.00,895123,8621121,Controlled,Free,613,3806,144.60
*,Greenville/Sprtnbg  SC,LGA,New York/Newark     NY,1.29,3,No,No,3152,21081.00,32991.00,895123,8621121,Controlled,Free,613,3806,144.60
*,Greenville/Sprtnbg  SC,EWR,New York/Newark     NY,1.29,3,No,No,3152,21081.00,32991.00,895123,8621121,Free,Constrained,613,3806,144.60
*,Houston             TX,JFK,New York/Newark     NY,1.29,1,No,No,6438.27,27211.00,32991.00,3770125,8621121,Controlled,Free,1426,15711,349.53
*,Houston             TX,LGA,New York/Newark     NY,1.29,3,No,No,6438.27,27211.00,32991.00,3770125,8621121,Controlled,Free,1426,15711,349.53
*,Houston             TX,EWR,New York/Newark     NY,1.29,3,No,No,6438.27,27211.00,32991.00,3770125,8621121,Free,Constrained,1426,15711,349.53
*,Jacksonville        FL,JFK,New York/Newark     NY,1.34,3,Yes,No,3840.28,23614.00,32991.00,1008768,8621121,Controlled,Free,842,7098,183.43
*,Jacksonville        FL,LGA,New York/Newark     NY,1.34,3,Yes,No,3840.28,23614.00,32991.00,1008768,8621121,Controlled,Free,842,7098,183.43
*,Jacksonville        FL,EWR,New York/Newark     NY,1.34,3,Yes,No,3840.28,23614.00,32991.00,1008768,8621121,Free,Constrained,842,7098,183.43
*,Kansas City         MO,JFK,New York/Newark     NY,1.4,3,No,No,2617.87,25450.00,32991.00,1694803,8621121,Controlled,Free,1103,7543,223.99
*,Kansas City         MO,LGA,New York/Newark     NY,1.4,0,No,No,2617.87,25450.00,32991.00,1694803,8621121,Controlled,Free,1103,7543,223.99
*,Kansas City         MO,EWR,New York/Newark     NY,1.4,3,No,No,2617.87,25450.00,32991.00,1694803,8621121,Free,Constrained,1103,7543,223.99
*,Las Vegas           NV,JFK,New York/Newark     NY,1.36,3,Yes,No,2263.81,24575.00,32991.00,1197234,8621121,Controlled,Free,2237,26582,169.41
*,Las Vegas           NV,LGA,New York/Newark     NY,1.36,3,Yes,No,2263.81,24575.00,32991.00,1197234,8621121,Controlled,Free,2237,26582,169.41
*,Las Vegas           NV,EWR,New York/Newark     NY,1.36,3,Yes,No,2263.81,24575.00,32991.00,1197234,8621121,Free,Constrained,2237,26582,169.41
*,Los Angeles         CA,JFK,New York/Newark     NY,1.17,3,No,No,2517.74,24706.00,32991.00,9056076,8621121,Controlled,Free,2467,60435,326.47
*,Los Angeles         CA,LGA,New York/Newark     NY,1.17,3,No,No,2517.74,24706.00,32991.00,9056076,8621121,Controlled,Free,2467,60435,326.47
*,Los Angeles         CA,EWR,New York/Newark     NY,1.17,3,No,No,2517.74,24706.00,32991.00,9056076,8621121,Free,Constrained,2467,60435,326.47
*,Memphis             TN,JFK,New York/Newark     NY,1.29,3,No,No,6317.55,24725.00,32991.00,1074558,8621121,Controlled,Free,951,4614,234.31
*,Memphis             TN,LGA,New York/Newark     NY,1.29,3,No,No,6317.55,24725.00,32991.00,1074558,8621121,Controlled,Free,951,4614,234.31
*,Memphis             TN,EWR,New York/Newark     NY,1.29,3,No,No,6317.55,24725.00,32991.00,1074558,8621121,Free,Constrained,951,4614,234.31
*,Miami               FL,JFK,New York/Newark     NY,1.05,3,Yes,No,3042.09,21207.00,32991.00,2105604,8621121,Controlled,Free,1097,51122,124.92
*,Miami               FL,LGA,New York/Newark     NY,1.05,3,Yes,No,3042.09,21207.00,32991.00,2105604,8621121,Controlled,Free,1097,51122,124.92
*,Miami               FL,EWR,New York/Newark     NY,1.05,3,Yes,No,3042.09,21207.00,32991.00,2105604,8621121,Free,Constrained,1097,51122,124.92
*,Minneapolis/St Paul MN,JFK,New York/Newark     NY,1.15,3,No,No,6143.2,28739.00,32991.00,2761118,8621121,Controlled,Constrained,1015,13123,278.39
*,Minneapolis/St Paul MN,LGA,New York/Newark     NY,1.15,3,No,No,6143.2,28739.00,32991.00,2761118,8621121,Controlled,Constrained,1015,13123,278.39
*,Minneapolis/St Paul MN,EWR,New York/Newark     NY,1.15,3,No,No,6143.2,28739.00,32991.00,2761118,8621121,Free,Constrained,1015,13123,278.39
*,New Orleans         LA,JFK,New York/Newark     NY,1.42,3,No,No,2995.1,22038.00,32991.00,1308499,8621121,Controlled,Free,1173,10334,208.71
*,New Orleans         LA,LGA,New York/Newark     NY,1.42,3,No,No,2995.1,22038.00,32991.00,1308499,8621121,Controlled,Free,1173,10334,208.71
*,New Orleans         LA,EWR,New York/Newark     NY,1.42,3,No,No,2995.1,22038.00,32991.00,1308499,8621121,Free,Constrained,1173,10334,208.71
*,Norfolk/Va B/Pt/Ch  VA,JFK,New York/Newark     NY,1.02,0,No,No,3585.86,21125.00,32991.00,1536012,8621121,Controlled,Free,291,6295,150.13
*,Norfolk/Va B/Pt/Ch  VA,LGA,New York/Newark     NY,1.02,3,No,No,3585.86,21125.00,32991.00,1536012,8621121,Controlled,Free,291,6295,150.13
*,Norfolk/Va B/Pt/Ch  VA,EWR,New York/Newark     NY,1.02,3,No,No,3585.86,21125.00,32991.00,1536012,8621121,Free,Constrained,291,6295,150.13
*,Burbank             CA,*,Oakland             CA,1,3,No,Yes,8795.73,24706.00,29846.00,9056076,2237227,Free,Free,325,23041,56.43
*,Las Vegas           NV,*,Oakland             CA,1.05,0,Yes,Yes,9062.95,24575.00,29846.00,1197234,2237227,Free,Free,407,13356,58.03
*,Los Angeles         CA,*,Oakland             CA,1,3,No,Yes,5391.08,24706.00,29846.00,9056076,2237227,Free,Free,334,43884,53.80
*,Dallas/Fort Worth   TX,*,Oklahoma City       OK,1,1,No,Yes,5149.03,28637.00,20927.00,3036732,1021733,Free,Free,180,7646,66.14
*,Houston             TX,*,Oklahoma City       OK,1.09,3,No,Yes,4897.64,27211.00,20927.00,3770125,1021733,Free,Free,410,5425,96.18
ORD,Chicago             IL,*,Omaha               NE,1.02,3,No,Yes,5230.32,29260.00,25127.00,7830332,679984,Controlled,Free,428,8724,67.77
MDW,Chicago             IL,*,Omaha               NE,1.02,3,No,Yes,5230.32,29260.00,25127.00,7830332,679984,Free,Free,428,8724,67.77
*,Denver              CO,*,Omaha               NE,1,3,No,No,6131.6,29055.00,25127.00,1862106,679984,Free,Free,474,3734,139.81
*,Atlanta             GA,*,Orlando             FL,1.01,3,Yes,No,4581.03,26993.00,22360.00,3532657,1421287,Free,Free,404,18673,92.78
*,Boston              MA,*,Orlando             FL,1.24,3,Yes,No,3123.35,30124.00,22360.00,5787293,1421287,Free,Free,1119,23222,117.97
ORD,Chicago             IL,*,Orlando             FL,1.09,3,Yes,Yes,1853.53,29260.00,22360.00,7830332,1421287,Controlled,Free,995,26034,121.67
MDW,Chicago             IL,*,Orlando             FL,1.09,3,Yes,Yes,1853.53,29260.00,22360.00,7830332,1421287,Free,Free,995,26034,121.67
*,Cincinnati          OH,*,Orlando             FL,1.17,3,Yes,No,5313.07,25059.00,22360.00,1595139,1421287,Free,Constrained,756,5235,138.88
*,Cleveland           OH,*,Orlando             FL,1.34,3,Yes,No,4568.58,26046.00,22360.00,2230955,1421287,Free,Free,902,5696,140.90
*,Columbus            OH,*,Orlando             FL,1.5,0,Yes,Yes,2082.23,24502.00,22360.00,125722,1421287,Free,Free,802,6399,104.33
*,Dallas/Fort Worth   TX,*,Orlando             FL,1.08,3,Yes,No,3819.52,28637.00,22360.00,3036732,1421287,Free,Free,984,11392,153.58
*,Denver              CO,*,Orlando             FL,1.55,3,Yes,No,3651.91,29055.00,22360.00,1862106,1421287,Free,Free,1545,5820,201.43
*,Detroit             MI,*,Orlando             FL,1.16,3,Yes,No,5790.88,26506.00,22360.00,4459144,1421287,Free,Constrained,963,16414,102.95
*,Fort Lauderdale     FL,*,Orlando             FL,1,3,Yes,Yes,4144.01,26752.00,22360.00,1440377,1421287,Free,Free,174,9216,45.55
*,Hartford            CT,*,Orlando             FL,1.36,3,Yes,No,3217.37,30268.00,22360.00,1106780,1421287,Free,Free,1045,9823,114.50
*,Houston             TX,*,Orlando             FL,1.28,3,Yes,Yes,4843.94,27211.00,22360.00,3770125,1421287,Free,Free,856,5798,150.04
*,Kansas City         MO,*,Orlando             FL,1.68,0,Yes,Yes,1771.85,25450.00,22360.00,1694803,1421287,Free,Free,1064,5610,121.35
*,Las Vegas           NV,*,Orlando             FL,1.48,3,Yes,No,3285.29,24575.00,22360.00,1197234,1421287,Free,Free,2035,5829,117.59
*,Los Angeles         CA,*,Orlando             FL,1.4,3,Yes,No,4628.94,24706.00,22360.00,9056076,1421287,Free,Free,2216,8084,258.43
*,Miami               FL,*,Orlando             FL,1,0,Yes,No,5149.7,21207.00,22360.00,2105604,1421287,Free,Free,192,7967,96.53
*,Miami               FL,*,Orlando             FL,1,0,Yes,No,5149.7,21207.00,22360.00,2105604,1421287,Free,Free,192,7967,96.53
*,Minneapolis/St Paul MN,*,Orlando             FL,1.34,3,Yes,No,6037.84,28739.00,22360.00,2761118,1421287,Free,Constrained,1308,4978,204.62
*,New Orleans         LA,*,Orlando             FL,1.3,3,Yes,Yes,2424.61,22038.00,22360.00,1308499,1421287,Free,Free,541,5057,92.35
JFK,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.85,32991.00,22360.00,8621121,1421287,Controlled,Free,947,54990,123.97
LGA,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.85,32991.00,22360.00,8621121,1421287,Controlled,Free,947,54990,123.97
EWR,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.85,32991.00,22360.00,8621121,1421287,Free,Constrained,947,54990,123.97
*,Atlanta             GA,*,Philadelphia/Camden PA,1.06,3,No,No,4248.47,26993.00,27994.00,3532657,4948339,Free,Free,674,16512,125.09
*,Boston              MA,*,Philadelphia/Camden PA,1.02,0,No,No,9649.01,30124.00,27994.00,5787293,4948339,Free,Free,265,17196,138.56
ORD,Chicago             IL,*,Philadelphia/Camden PA,1.08,3,No,No,3748.6,29260.00,27994.00,7830332,4948339,Controlled,Free,673,16559,215.06
MDW,Chicago             IL,*,Philadelphia/Camden PA,1.08,3,No,No,3748.6,29260.00,27994.00,7830332,4948339,Free,Free,673,16559,215.06
*,Dallas/Fort Worth   TX,*,Philadelphia/Camden PA,1.17,3,No,No,5921.73,28637.00,27994.00,3036732,4948339,Free,Free,1314,7630,249.45
*,Denver              CO,*,Philadelphia/Camden PA,1.35,3,No,No,5840.94,29055.00,27994.00,1862106,4948339,Free,Free,1568,3599,335.55
*,Detroit             MI,*,Philadelphia/Camden PA,1.05,3,No,No,4597.29,26506.00,27994.00,4459144,4948339,Free,Constrained,450,7899,175.66
*,Fort Lauderdale     FL,*,Philadelphia/Camden PA,1.21,3,Yes,No,7577.56,26752.00,27994.00,1440377,4948339,Free,Free,997,6541,132.77
*,Houston             TX,*,Philadelphia/Camden PA,1.36,3,No,No,5679.25,27211.00,27994.00,3770125,4948339,Free,Free,1347,4023,353.56
*,Las Vegas           NV,*,Philadelphia/Camden PA,1.36,3,Yes,No,2494.45,24575.00,27994.00,1197234,4948339,Free,Free,2179,6948,165.90
*,Los Angeles         CA,*,Philadelphia/Camden PA,1.37,3,No,No,3264.94,24706.00,27994.00,9056076,4948339,Free,Free,2407,8981,293.21
*,Miami               FL,*,Philadelphia/Camden PA,1.15,3,Yes,No,4191.14,21207.00,27994.00,2105604,4948339,Free,Free,1026,5725,152.67
*,Minneapolis/St Paul MN,*,Philadelphia/Camden PA,1.18,3,No,No,7362.53,28739.00,27994.00,2761118,4948339,Free,Constrained,979,4149,295.46
*,Orlando             FL,*,Philadelphia/Camden PA,1.14,3,Yes,No,5335.32,22360.00,27994.00,1421287,4948339,Free,Free,872,17853,114.28
*,Albuquerque         NM,*,Phoenix             AZ,1,3,No,Yes,6362.24,22089.00,23025.00,668159,2753373,Free,Free,327,13947,57.05
*,Atlanta             GA,*,Phoenix             AZ,1.25,3,No,No,4275.35,26993.00,23025.00,3532657,2753373,Free,Free,1591,5944,200.09
*,Austin              TX,*,Phoenix             AZ,1.1,3,No,Yes,4252.09,23665.00,23025.00,1038660,2753373,Free,Free,876,4511,105.41
*,Boston              MA,*,Phoenix             AZ,1.7,3,No,No,1710.9,30124.00,23025.00,5787293,2753373,Free,Free,2295,7130,197.42
*,Burbank             CA,*,Phoenix             AZ,1,3,No,Yes,5266.72,24706.00,23025.00,9056076,2753373,Free,Free,363,10529,57.33
ORD,Chicago             IL,*,Phoenix             AZ,1.11,3,No,Yes,2297.85,29260.00,23025.00,7830332,2753373,Controlled,Free,1446,23009,152.10
MDW,Chicago             IL,*,Phoenix             AZ,1.11,3,No,Yes,2297.85,29260.00,23025.00,7830332,2753373,Free,Free,1446,23009,152.10
*,Cleveland           OH,*,Phoenix             AZ,1.56,0,No,Yes,2659.94,26046.00,23025.00,2230955,2753373,Free,Free,1749,4272,166.66
*,Columbus            OH,*,Phoenix             AZ,1.56,3,No,Yes,3391.87,24502.00,23025.00,125722,2753373,Free,Free,1673,4780,158.00
*,Dallas/Fort Worth   TX,*,Phoenix             AZ,1.1,0,No,No,4711.47,28637.00,23025.00,3036732,2753373,Free,Free,870,7060,229.84
*,Denver              CO,*,Phoenix             AZ,1.02,0,No,No,3959.07,29055.00,23025.00,1862106,2753373,Free,Free,590,11723,133.04
*,Detroit             MI,*,Phoenix             AZ,1.22,3,No,Yes,4116.08,26506.00,23025.00,4459144,2753373,Free,Constrained,1682,8384,191.66
*,El Paso             TX,*,Phoenix             AZ,1,3,No,Yes,7231.62,14600.00,23025.00,677757,2753373,Free,Free,353,6211,60.73
*,Houston             TX,*,Phoenix             AZ,1.08,3,No,Yes,3100.41,27211.00,23025.00,3770125,2753373,Free,Free,1014,6277,148.28
*,Kansas City         MO,*,Phoenix             AZ,1.18,3,No,Yes,3725.96,25450.00,23025.00,1694803,2753373,Free,Free,1046,8478,85.48
*,Las Vegas           NV,*,Phoenix             AZ,1,3,Yes,Yes,5619.02,24575.00,23025.00,1197234,2753373,Free,Free,248,22995,53.07
*,Los Angeles         CA,*,Phoenix             AZ,1.01,3,No,Yes,3923.94,24706.00,23025.00,9056076,2753373,Free,Free,366,35471,51.73
*,Minneapolis/St Paul MN,*,Phoenix             AZ,1.12,0,No,No,4317.49,28739.00,23025.00,2761118,2753373,Free,Constrained,1279,8730,195.91
JFK,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.9,32991.00,23025.00,8621121,2753373,Controlled,Free,2148,14830,273.12
LGA,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.9,32991.00,23025.00,8621121,2753373,Controlled,Free,2148,14830,273.12
EWR,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.9,32991.00,23025.00,8621121,2753373,Free,Constrained,2148,14830,273.12
*,Oakland             CA,*,Phoenix             AZ,1.03,3,No,Yes,4787.55,29846.00,23025.00,2237227,2753373,Free,Free,638,8271,84.15
*,Omaha               NE,*,Phoenix             AZ,1.34,3,No,Yes,3442.98,25127.00,23025.00,679984,2753373,Free,Free,1031,5953,81.32
*,Orlando             FL,*,Phoenix             AZ,1.78,3,Yes,Yes,2275.24,22360.00,23025.00,1421287,2753373,Free,Free,1851,4099,162.53
*,Philadelphia/Camden PA,*,Phoenix             AZ,1.55,3,No,No,3127.59,27994.00,23025.00,4948339,2753373,Free,Free,2083,3891,291.78
*,Atlanta             GA,*,Pittsburgh          PA,1.04,3,No,No,4215.01,26993.00,25054.00,3532657,2374260,Free,Constrained,525,7664,93.55
*,Boston              MA,*,Pittsburgh          PA,1.1,3,No,No,9174.83,30124.00,25054.00,5787293,2374260,Free,Constrained,483,5539,186.28
ORD,Chicago             IL,*,Pittsburgh          PA,1.05,3,No,No,4947.28,29260.00,25054.00,7830332,2374260,Controlled,Constrained,412,6585,208.86
MDW,Chicago             IL,*,Pittsburgh          PA,1.05,3,No,No,4947.28,29260.00,25054.00,7830332,2374260,Free,Constrained,412,6585,208.86
JFK,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.74,32991.00,25054.00,8621121,2374260,Controlled,Constrained,325,13957,169.90
LGA,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.74,32991.00,25054.00,8621121,2374260,Controlled,Constrained,325,13957,169.90
EWR,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.74,32991.00,25054.00,8621121,2374260,Free,Constrained,325,13957,169.90
EWR,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.74,32991.00,25054.00,8621121,2374260,Free,Constrained,325,13957,169.90
